timestamp,headline,sentiment
2025-07-20 14:00:00+00:00,Chart of the Week: Wall Street's 'Infinite Money Glitch' Moves From Bitcoin to Altcoins,0.0
2025-07-19 17:22:46+00:00,"ETH Could Be Worth $15K Medium Term, $4K Target in the Short Term: Fundstrat's Tom Lee",0.15
2025-07-19 17:18:13+00:00,Avalanche’s AVAX ‘Breakout Finally Happened’ After 30% Monthly Price Jump,0.0
2025-07-19 17:13:34+00:00,Indian Crypto Exchange CoinDCX Suffers $44M Hack,-0.6
2025-07-19 16:29:34+00:00,Shares of Jack Dorsey’s Block Jump 8.5% on S&P 500 Inclusion,0.0
2025-07-19 15:57:54+00:00,"TON Launches Tolk, New Smart Contract Language With Lower Costs and Faster Development",0.17532467532467533
2025-07-19 15:00:00+00:00,"State of Crypto: The Industry's No Good, Very Bad Wait Actually Excellent Week",-0.0866666666666666
2025-07-19 14:41:33+00:00,TAO Synergies Becomes Largest Public Holder of Bittensor Token With $10M Purchase,0.0
2025-07-19 13:42:26+00:00,Ether ETFs See Record $2.18B Weekly Inflow as ETH Rallies During 'Crypto Week',0.0
2025-07-19 13:14:01+00:00,"Charles Schwab CEO Says Crypto Trading Is Coming Soon, Will Compete With Coinbase for Retail",0.0
2025-07-19 06:17:29+00:00,"DOGE Rebounds Hard After Flash Dip, Bulls Target $0.27 Next",-0.14583333333333334
2025-07-19 05:58:21+00:00,"XRP Cools After ATH Surge, But Accumulation Zones Signal More Upside",0.5
2025-07-19 01:15:56+00:00,Crypto Exchange Bullish Files for U.S. IPO,0.0
2025-07-19 00:22:58+00:00,"Tether CEO Says He'll Comply With GENIUS to Come to U.S., Circle Says It's Set Now",0.0
2025-07-18 23:59:10+00:00,Trump Signs GENIUS Act Into Law: The Full Transcript,0.35
2025-07-18 22:00:00+00:00,"Ether.fi to Expand to HyperLiquid, Introduce ‘beHYPE’ Staking Token",0.0
2025-07-18 21:05:36+00:00,The Node: The Mad Journey from Terra to GENIUS,-0.625
2025-07-18 19:26:25+00:00,"Trump Signs GENIUS Act Into Law, Elevating First Major Crypto Effort to Become Policy",0.15625
2025-07-18 17:30:52+00:00,"Bitcoin Slips Below $118K, ETH, XRP Pare Big Gains, but Rally Remains on Firm Ground, Says Coinbase",-0.1
2025-07-18 16:38:02+00:00,Trump to Sign the Historic GENIUS Act Into Law. What Does It Mean for Crypto?,-0.15625
2025-07-18 16:34:04+00:00,NEAR Protocol Jumps 12% as AI Sector Takes Flight,0.1
2025-07-18 15:54:09+00:00,"Bit Digital Adds Nearly 20K ETH, Boosting Ether Treasury to Over $430M",0.05
2025-07-18 15:45:48+00:00,Weekly Recap: Congress Passes First Crypto Law!,0.3125
2025-07-18 15:41:53+00:00,Chainlink's LINK Gains on Joining SEC Crypto Task Force's Tokenization Initiative,-0.1
2025-07-18 15:33:27+00:00,ATOM Sustains Bullish Momentum Despite Intraday Volatility,0.0
